team_name,Year,avg_diff_ol
LAC,2020,-9034.783333333582
LAC,2021,-1766252.5833333333
LV,2012,-761498.2
LV,2013,-994254.4833333336
LV,2014,-212415.05
LV,2015,-87620.94999999991
LV,2016,1277260.788888889
LV,2017,2692592.5166666666
LV,2018,3026767.35
LV,2019,2746235.0333333327
LV,2020,-372772.66666666686
LV,2021,741705.8166666668
MIA,2012,1091415.0166666666
MIA,2013,259745.85000000015
MIA,2014,-230681.41666666666
MIA,2015,1760412.4666666668
MIA,2016,506228.4833333333
MIA,2017,853901.95
MIA,2018,-2502452.25
MIA,2019,-2306701.4
MIA,2020,623937.1666666667
MIA,2021,-228414.08333333326
MIN,2012,159203.87500000017
MIN,2013,-126417.22916666674
MIN,2014,109634.625
MIN,2015,169175.83333333337
MIN,2016,227060.1333333333
MIN,2017,1393006.6875
MIN,2018,289527.6000000002
MIN,2019,-1310875.5499999998
MIN,2020,-1253872.0166666668
MIN,2021,1156411.7500000002
NE,2012,-1136558.8687878787
NE,2013,237031.98333333334
NE,2014,-34314.250000000044
NE,2015,140582.38333333321
NE,2016,-1424720.3666666665
NE,2017,-4821344.749999999
NE,2018,-3187590.0722222226
NE,2019,-2943695.866666666
NE,2020,-2174730.479166667
NE,2021,-5012603.1
NO,2012,1141867.1166666665
NO,2013,544124.2999999996
NO,2014,773712.2166666667
NO,2015,-665555.033333333
NO,2016,126124.9333333335
NO,2017,-846834.3666666665
NO,2018,933450.2166666666
NO,2019,-2184802.1041666665
NO,2020,903550.8833333332
NO,2021,-193456.68333333303
NYG,2012,298198.2708333334
NYG,2013,-968113.2291666665
NYG,2014,-1358261.25
NYG,2015,-520125.0999999998
NYG,2016,-2037405.1999999997
NYG,2017,-1204997.85
NYG,2018,168346.35000000003
NYG,2019,1726501.5166666661
NYG,2020,1885727.7333333332
NYG,2021,2171522.4833333334
NYJ,2012,350623.9000000001
NYJ,2013,1133199.066666667
NYJ,2014,1077088.5666666664
NYJ,2015,2919078.033333333
NYJ,2016,2143086.4999999995
NYJ,2017,1898513.683333333
NYJ,2018,1868723.55
NYJ,2019,-204439.8
NYJ,2020,403740.9166666668
NYJ,2021,-31620.5
PHI,2012,-650080.6166666666
PHI,2013,-264330.58333333326
PHI,2014,760552.4479166665
PHI,2015,1171384.433333333
PHI,2016,1119352.0833333333
PHI,2017,-336528.4166666666
PHI,2018,198572.0666666666
PHI,2019,975960.690909091
PHI,2020,-1023287.3
PHI,2021,545525.4212121213
PIT,2012,-3774.6666666665114
PIT,2013,-1111904.2833333334
PIT,2014,-428662.6333333334
PIT,2015,-1191668.55
PIT,2016,443416.1333333334
PIT,2017,636370.4777777779
PIT,2018,299734.8666666665
PIT,2019,1039459.3833333334
PIT,2020,1132193.3333333335
PIT,2021,-2186528.216666667
SEA,2012,-514757.6166666666
SEA,2013,562970.8999999999
SEA,2014,347611.25000000006
SEA,2015,424746.4166666668
SEA,2016,-1940637.25
SEA,2017,2358414.6833333336
SEA,2018,801910.95
SEA,2019,25934.23333333349
SEA,2020,-1623785.3000000003
SEA,2021,-533817.6874999999
SF,2012,-1535704.1
SF,2013,1118223.8833333335
SF,2014,21109.56999999988
SF,2015,-131524.8045454545
SF,2016,-355749.8833333333
SF,2017,-2588565.7604166665
SF,2018,365772.4166666666
SF,2019,370016.7666666667
SF,2020,-1063981.8333333335
SF,2021,-869775.0624999997
TB,2012,-40224.566666666746
TB,2013,1355550.05
TB,2014,545604.6666666666
TB,2015,722993.4833333332
TB,2016,-1219973.4166666665
TB,2017,-1217748.8833333335
TB,2018,-709368.8833333332
TB,2019,2025803.6041666667
TB,2020,1015614.7500000002
TB,2021,64361.64999999981
TEN,2012,1523866.8541666667
TEN,2013,1615835.4666666666
TEN,2014,641606.1666666667
TEN,2015,-562347.3333333334
TEN,2016,-1871279.2833333337
TEN,2017,-2675764.791666667
TEN,2018,1705125.85
TEN,2019,79765.18333333339
TEN,2020,-44477.85000000009
TEN,2021,990173.5208333331
WAS,2012,289304.68333333335
WAS,2013,-58696.24523809515
WAS,2014,979979.3833333332
WAS,2015,641550.9333333332
WAS,2016,849477.4166666664
WAS,2017,1403695.1166666667
WAS,2018,1455023.0000000002
WAS,2019,-1926402.8541666667
WAS,2020,1131039.5000000002
WAS,2021,2443415.9
