rank,player-name,rank-position,year signed,age,year 2,value,average/year
158,Marcus Applefield,Tackle,2019-2021 (FA: 2022),23,3,"$1,758,000","$586,000"
163,Joe Lowery,Tackle,2019-2021 (FA: 2022),22,3,"$1,757,500","$585,833"
163,John Keenoy,Center,2019-2021 (FA: 2022),22,3,"$1,757,500","$585,833"
163,Tyler Roemer,Tackle,2019-2021 (FA: 2022),21,3,"$1,757,500","$585,833"
163,Blake Blackmar,Guard,2019-2021 (FA: 2022),23,3,"$1,757,500","$585,833"
167,Chandler Miller,Center,2019-2021 (FA: 2022),23,3,"$1,757,000","$585,667"
167,Ross Reynolds,Guard,2019-2021 (FA: 2022),23,3,"$1,757,000","$585,667"
167,Larry Williams,Guard,2019-2021 (FA: 2022),0,3,"$1,757,000","$585,667"
170,Mike Herndon,Guard,2019-2021 (FA: 2022),0,3,"$1,756,000","$585,333"
170,Damian Prince,Tackle,2019-2021 (FA: 2022),22,3,"$1,756,000","$585,333"
172,Micah St. Andrew,Guard,2019-2021 (FA: 2022),23,3,"$1,755,000","$585,000"
172,Brock Ruble,Tackle,2019-2021 (FA: 2022),23,3,"$1,755,000","$585,000"
172,Ryan Anderson,Center,2019-2021 (FA: 2022),24,3,"$1,755,000","$585,000"
172,Aaron Monteiro,Tackle,2019-2021 (FA: 2022),22,3,"$1,755,000","$585,000"
172,Cory Thomas,Tackle,2019-2021 (FA: 2022),23,3,"$1,755,000","$585,000"
172,Kirk Barron,Center,2019-2021 (FA: 2022),23,3,"$1,755,000","$585,000"
172,Jordan Agasiva,Guard,2019-2021 (FA: 2022),0,3,"$1,755,000","$585,000"
172,Riley Mayfield,Tackle,2019-2021 (FA: 2022),0,3,"$1,755,000","$585,000"
172,Nathan Jacobson,Tackle,2019-2021 (FA: 2022),0,3,"$1,755,000","$585,000"
172,Garrett McGhin,Tackle,2019-2021 (FA: 2022),24,3,"$1,755,000","$585,000"
172,Patrick Vahe,Guard,2019-2021 (FA: 2022),23,3,"$1,755,000","$585,000"
172,Jerald Foster,Guard,2019-2021 (FA: 2022),23,3,"$1,755,000","$585,000"
172,Johnny Gibson,Guard,2019-2021 (FA: 2022),0,3,"$1,755,000","$585,000"
