player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
DeMeco Ryans,2978,LB,PHI,16,3,2.8,81.0,88.4,10.1,8.2,0,0,1,1.7,24,58.9,73.4,84.2,62.5,83.8,83.8,1,41,11.1,4,1,2,115.6,47,511,578,13,29,58,4,461,348,1.0,9.8
D'Qwell Jackson,2979,LB,CLV,16,5,4.4,70.7,84.9,13.2,9.4,0,0,5,8.6,8,81.8,70.6,44.7,54.1,59.1,84.8,2,32,5.3,2,5,3,85.0,41,581,684,11,31,58,2,374,283,0.7,9.1
Rocky McIntosh,2980,LB,SL,16,1,3.7,81.3,72.2,9.9,8.1,0,0,0,0.0,26,55.0,53.9,43.2,58.6,55.8,54.4,1,16,6.7,1,0,1,68.8,13,135,187,2,13,16,0,108,63,0.8,8.3
Thomas Howard,2983,LB,CIN,1,0,3.5,50.0,89.5,31.0,15.5,0,0,0,0.0,7,80.9,78.3,69.6,68.1,62.0,76.2,0,3,0.0,0,0,0,56.3,1,34,38,2,1,2,0,3,3,0.1,3.0
Danieal Manning,2987,S,HST,18,5,8.1,72.3,95.2,20.2,14.6,0,0,3,6.4,13,50.0,56.1,41.8,55.2,74.2,80.2,2,63,10.9,6,3,4,117.3,34,728,765,10,44,47,5,420,212,0.6,12.4
Roman Harper,2988,S,NO,16,4,7.0,70.8,90.5,12.4,8.8,0,0,6,9.2,20,30.6,41.5,87.9,53.4,67.8,72.4,2,88,11.9,7,6,3,101.0,46,600,663,9,48,65,2,663,416,1.2,14.4
Cedric Griffin,2993,CB,WAS,10,5,15.1,63.2,98.3,11.1,7.0,0,0,3,7.9,32,63.6,62.9,36.2,59.2,61.8,83.2,0,34,3.2,1,3,2,100.0,24,284,289,2,25,38,1,333,62,1.2,13.9
Bernard Pollard,2999,S,BLT,17,7,7.9,67.3,95.2,19.8,13.3,0,0,1,2.0,3,55.3,64.5,0.0,92.2,83.6,74.8,1,32,11.9,8,1,8,81.3,33,688,723,11,52,49,0,371,135,0.6,11.2
Richard Marshall,3003,CB,MIA,4,1,13.8,60.9,95.6,10.4,6.3,1,0,3,13.0,17,54.0,51.7,12.4,55.0,53.2,59.6,1,46,0.0,0,3,4,101.2,14,151,158,2,13,23,2,207,69,1.4,14.8
Tim Jennings,3007,CB,CHI,14,3,10.9,52.9,98.8,10.3,5.5,0,0,11,10.6,6,78.9,80.0,88.9,61.7,73.9,69.5,9,49,7.3,4,11,3,53.3,55,589,596,12,48,104,5,678,180,1.2,12.3
Darryl Tapp,3008,ED,PHI,12,0,-1.0,100.0,2.5,3.0,3.0,0,0,0,0.0,24,58.6,71.0,40.1,62.1,75.9,67.2,0,0,16.7,1,0,2,79.2,1,3,119,1,5,1,0,0,1,0.0,0.0
James Anderson,3033,LB,CAR,12,3,3.2,78.1,85.4,8.5,6.7,0,0,3,9.4,5,56.8,51.7,77.9,51.7,49.2,66.1,0,29,10.0,3,3,2,105.5,25,222,260,10,24,32,1,218,147,1.0,8.7
Frostee Rucker,3036,ED,CLV,16,1,3.8,75.0,7.3,7.0,5.3,0,0,0,0.0,8,54.3,60.4,70.3,65.0,58.6,54.5,0,11,25.0,2,0,1,85.4,3,22,300,6,5,4,0,20,17,1.0,6.7
Jason Hatcher,3037,DI,DAL,16,0,,,0.9,,,0,0,0,,9,59.8,70.7,30.7,64.7,75.7,76.6,0,,33.3,1,0,5,0.0,0,4,456,6,2,0,0,0,0,0.0,
Eric Smith,3042,S,NYJ,12,0,7.2,42.1,83.6,20.6,8.7,0,0,3,15.8,22,67.6,61.5,17.2,40.0,60.2,90.0,1,34,0.0,0,3,1,61.7,8,178,213,1,8,19,1,132,80,0.8,16.5
Stephen Tulloch,3061,LB,DET,16,0,3.0,76.9,87.7,10.6,8.2,0,0,3,4.6,11,72.6,68.7,41.5,64.0,61.6,55.6,0,20,17.3,9,3,2,104.0,50,551,628,24,43,65,3,350,253,0.7,7.0
Brandon Marshall,3064,WR,CHI,1,0,,,100.0,,,0,0,0,,6,60.0,60.0,62.9,,,,0,,,0,0,2,0.0,0,1,1,0,0,0,0,0,0,0.0,
Barry Cofield,3069,DI,WAS,17,1,,,0.6,,,0,0,0,,32,57.8,62.3,76.3,68.0,51.6,70.3,0,,0.0,0,0,1,0.0,0,3,506,5,3,0,0,0,0,0.0,
Elvis Dumervil,3071,ED,DEN,17,1,-0.7,85.7,9.4,8.8,7.6,0,0,0,0.0,10,56.7,67.0,10.8,76.6,60.6,73.2,0,52,14.3,1,0,9,118.8,6,58,616,12,5,7,0,109,116,2.1,18.2
Ray Edwards,3072,ED,ATL,9,0,,,5.0,,,0,0,0,,2,61.0,57.3,49.6,57.9,58.6,75.7,0,,,0,0,1,0.0,0,5,100,0,0,0,0,0,0,0.0,
Kyle Williams,3079,DI,BUF,16,0,,,0.6,,,0,0,0,,4,53.4,78.7,29.5,78.9,75.2,48.0,0,,75.0,3,0,6,0.0,0,3,474,6,1,0,0,0,0,0.0,
Rob Ninkovich,3080,ED,NE,18,2,0.4,76.9,10.9,7.1,5.5,0,0,0,0.0,19,73.8,77.3,78.4,72.4,68.2,52.1,1,28,9.1,1,0,1,70.7,10,72,663,11,8,13,0,114,112,1.6,11.4
Brandon Johnson,3087,LB,PIT,1,0,,,100.0,,,0,0,0,,25,75.4,91.4,66.4,,,71.4,0,,0.0,0,0,0,0.0,0,2,2,1,1,0,0,0,0,0.0,
Dawan Landry,3091,S,JAX,16,7,9.5,68.2,96.3,18.7,12.8,0,0,1,2.3,15,53.2,62.4,64.1,40.4,82.8,82.6,1,45,8.7,4,1,3,107.4,30,591,614,10,35,44,3,372,142,0.7,12.4
Tim Dobbins,3096,LB,HST,14,0,3.5,74.2,75.4,7.9,5.9,0,0,2,6.5,13,66.7,69.7,33.8,55.7,74.9,71.9,1,27,26.7,4,2,1,82.2,23,193,256,9,11,31,1,156,129,0.9,6.8
Charlie Peprah,3103,S,DAL,5,0,14.3,75.0,99.1,17.8,13.4,0,0,0,0.0,9,53.7,51.7,77.3,58.0,54.2,28.9,1,60,28.6,2,0,0,116.7,6,116,117,0,5,8,2,144,65,1.3,24.0
Mark Anderson,3104,ED,BUF,5,1,-2.0,100.0,7.4,4.0,4.0,0,0,0,0.0,4,41.6,43.7,52.6,57.6,43.7,56.3,0,10,25.0,1,0,1,108.3,2,10,135,2,2,2,0,20,24,2.5,10.0
Omar Gaither,3113,LB,OAK,5,0,3.5,75.0,86.4,16.7,12.5,0,0,0,0.0,23,49.4,56.0,77.7,58.2,62.7,68.2,0,21,0.0,0,0,0,105.2,3,51,59,1,3,4,0,39,33,0.8,13.0
Reed Doughty,3118,S,WAS,15,3,11.2,63.6,86.3,25.1,16.0,0,0,1,9.1,32,54.6,63.9,85.7,82.0,68.7,82.3,1,28,9.1,2,1,1,83.7,7,182,211,5,17,11,2,71,44,0.4,10.1
Tyrone Culver,3130,S,MIA,1,0,,,100.0,,,0,0,0,,17,60.7,58.6,68.7,,60.0,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Jeremy Mincey,3136,ED,JAX,16,0,5.0,0.0,6.0,,16.0,1,0,1,50.0,15,71.4,71.5,51.4,63.2,71.5,74.0,0,,0.0,0,1,3,39.6,0,33,550,4,1,2,0,0,0,0.0,
Antoine Bethea,3152,S,IND,17,7,13.1,58.8,96.2,29.4,17.3,0,0,5,14.7,14,52.9,60.1,62.5,77.4,68.8,78.9,0,50,6.5,3,5,2,92.2,20,629,654,7,36,34,0,335,100,0.6,16.8
Derrick Martin,3153,S,NE,3,0,10.2,50.0,89.5,16.0,8.0,0,0,0,0.0,19,58.1,57.7,78.5,64.0,49.8,37.0,0,36,0.0,0,0,0,81.9,3,51,57,1,1,6,0,55,28,1.1,18.3
Cortland Finnegan,3160,CB,SL,16,6,6.6,73.3,95.7,7.4,5.4,0,0,3,2.9,26,71.4,66.8,44.7,42.1,55.3,78.3,3,34,8.6,7,3,2,80.9,77,596,623,18,68,105,0,747,332,1.3,9.7
Dave Tollefson,3198,ED,OAK,14,0,0.0,50.0,5.0,6.0,3.0,0,0,0,0.0,23,53.5,48.4,47.7,51.6,55.9,74.4,0,14,0.0,0,0,1,72.9,1,6,121,0,2,2,0,14,13,2.3,14.0
