player,player_id,position,team_name,grades_offense,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Storm Norton,12188,T,LAC,60.2,1078,123.0,2021,607,Storm Norton,2021,26,2,"$1,525,000",762500
Ike Boettger,46918,G,BUF,59.8,636,125.0,2021,137,Ike Boettger,2021,26,1,"$2,133,000",2133000
Geron Christian Sr.,46375,T,HST,59.5,588,126.0,2021,1167,Geron Christian Sr.,2021,24,4,"$3,746,992",936748
Spencer Brown,42296,T,BUF,59.3,846,127.0,2021,287,Spencer Brown,2021,23,4,"$4,834,697",1208674
Max Scharping,46961,G,HST,59.3,689,127.0,2021,914,Max Scharping,2021,24,4,"$5,068,088",1267022
Cesar Ruiz,59857,G,NO,57.6,1091,129.0,2021,388,Cesar Ruiz,2021,22,4,"$12,679,205",3169801
Dan Moore Jr.,60120,T,PIT,57.5,1147,130.0,2021,88,Dan Moore Jr.,2021,22,4,"$4,177,904",1044476
Rodney Hudson,6207,C,ARZ,57.4,854,132.0,2021,271,Rodney Hudson,2021,31,3,"$30,000,000",10000000
Damien Lewis,81532,G,SEA,57.1,696,133.0,2021,412,Damien Lewis,2021,24,4,"$4,902,141",1225535
Daniel Brunskill,34807,G,SF,57.1,1259,133.0,2021,89,Daniel Brunskill,2021,27,1,"$850,000",850000
Ryan Kelly,10652,C,IND,56.9,907,135.0,2021,589,Ryan Kelly,2021,28,4,"$50,000,000",12500000
Blake Hance,46301,T,CLV,56.7,643,136.0,2021,365,Blake Hance,2021,24,2,"$1,410,000",705000
Charlie Heck,36501,T,HST,56.0,827,137.0,2021,391,Charlie Heck,2021,24,4,"$4,005,704",1001426
Cam Erving,9452,T,CAR,56.0,589,137.0,2021,54,Cam Erving,2021,28,2,"$10,000,000",5000000
Brandon Parker,34693,T,LV,55.9,958,139.0,2021,1076,Brandon Parker,2021,25,4,"$4,095,336",1023834
Will Hernandez,46180,G,NYG,55.9,1049,139.0,2021,1367,Will Hernandez,2021,25,4,"$7,450,744",1862686
Royce Newman,41746,G,GB,55.7,1084,141.0,2021,274,Royce Newman,2021,23,4,"$3,979,344",994836
Oli Udoh,28394,G,MIN,54.8,1075,142.0,2021,941,Oli Udoh,2021,24,4,"$2,686,964",671741
Max Garcia,9566,G,ARZ,54.3,864,143.0,2021,232,Max Garcia,2021,29,1,"$1,127,500",1127500
John Simpson,41715,G,LV,53.0,1189,144.0,2021,489,John Simpson,2021,23,4,"$4,091,780",1022945
Jesse Davis,9989,T,MIA,52.5,1063,145.0,2021,831,Jesse Davis,2021,29,3,"$15,000,000",5000000
Kendrick Green,56642,C,PIT,52.4,975,146.0,2021,203,Kendrick Green,2021,22,4,"$4,875,767",1218942
John Miller,9514,G,CAR,52.1,656,147.0,2021,177,John Miller,2021,27,1,"$1,127,500",1127500
Trey Hopkins,9276,C,CIN,51.9,1185,148.0,2021,1001,Trey Hopkins,2021,29,3,"$20,400,000",6800000
Sam Mustipher,13026,C,CHI,51.8,1121,149.0,2021,594,Sam Mustipher,2021,24,2,"$1,390,000",695000
Dennis Daley,60063,G,CAR,51.8,573,149.0,2021,752,Dennis Daley,2021,24,4,"$2,647,352",661838
Tytus Howard,25472,G,HST,51.4,927,151.0,2021,1012,Tytus Howard,2021,24,4,"$12,225,550",3056388
Liam Eichenberg,41851,T,MIA,50.8,1108,152.0,2021,220,Liam Eichenberg,2021,23,4,"$8,014,479",2003620
Matt Nelson,48584,T,DET,50.8,673,152.0,2021,230,Matt Nelson,2021,25,1,"$780,000",780000
Matt Skura,11102,G,NYG,50.8,769,152.0,2021,231,Matt Skura,2021,28,1,"$1,750,000",1750000
Michael Jordan,28021,G,CAR,50.7,703,155.0,2021,234,Michael Jordan,2021,22,1,"$850,000",850000
Austin Jackson,60816,G,MIA,49.9,1096,156.0,2021,356,Austin Jackson,2021,22,4,"$13,640,342",3410086
Jalen Mayfield,81725,G,ATL,49.2,989,157.0,2021,153,Jalen Mayfield,2021,21,4,"$5,208,010",1302003
Alex Leatherwood,58468,G,LV,45.5,1181,158.0,2021,11,Alex Leatherwood,2021,22,4,"$14,391,564",3597891
Hakeem Adeniji,45419,G,CIN,43.0,777,159.0,2021,454,Hakeem Adeniji,2021,23,4,"$3,506,884",876721
