position,player_name,team_name,grades_offense,snap_counts_block,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
G,Laken Tomlinson,SF,78.8,1093,33.0,2020,Laken Tomlinson,2020,28,5500000,4040679.5,1459320.5
C,Ben Jones,TEN,78.6,1092,34.0,2020,Ben Jones,2020,31,6750000,5099144.25,1650855.75
T,Brian O'Neill,MIN,78.0,1070,35.0,2020,Brian O'Neill,2020,24,1101660,6290810.916666667,-5189150.916666667
T,Orlando Brown Jr.,BLT,77.8,1168,36.0,2020,Orlando Brown Jr.,2020,24,872930,6762858.416666667,-5889928.416666667
G,Chris Lindstrom,ATL,77.1,1122,37.0,2020,Chris Lindstrom,2020,23,3681822,7348451.0,-3666629.0
C,Chase Roullier,WAS,76.4,1161,38.0,2020,Chase Roullier,2020,27,10125000,7660951.0,2464049.0
T,Jake Matthews,ATL,75.5,1113,39.0,2020,Jake Matthews,2020,28,14500000,7886910.333333333,6613089.666666667
T,Laremy Tunsil,HST,75.4,817,40.0,2020,Laremy Tunsil,2020,25,22000000,8660327.0,13339673.0
C,Cody Whitehair,CHI,75.0,942,41.0,2020,Cody Whitehair,2020,28,10250000,9035327.0,1214673.0
T,Charles Leno Jr.,CHI,74.9,1115,42.0,2020,Charles Leno Jr.,2020,28,9250000,9101188.666666666,148811.33333333395
T,Alejandro Villanueva,PIT,74.9,1186,42.0,2020,Alejandro Villanueva,2020,31,6000000,10403444.5,-4403444.5
T,Mekhi Becton,NYJ,74.4,691,44.0,2020,Mekhi Becton,2020,21,4611512,11200792.666666666,-6589280.666666666
G,Joe Thuney,NE,74.2,980,45.0,2020,Joe Thuney,2020,27,14781000,10637695.25,4143304.75
C,Rodney Hudson,LV,73.6,1082,46.0,2020,Rodney Hudson,2020,31,11250000,10346028.583333334,903971.416666666
G,Austin Corbett,LA,73.4,1242,47.0,2020,Austin Corbett,2020,24,1892000,9658528.583333334,-7766528.583333334
T,Anthony Castonzo,IND,73.4,749,47.0,2020,Anthony Castonzo,2020,31,16500000,9783528.583333334,6716471.416666666
T,Russell Okung,CAR,73.0,406,49.0,2020,Russell Okung,2020,31,13250000,9387695.25,3862304.75
T,Kolton Miller,LV,73.0,961,49.0,2020,Kolton Miller,2020,24,3367831,8986653.583333334,-5618822.583333334
G,Rodger Saffold,TEN,72.8,922,51.0,2020,Rodger Saffold,2020,31,11000000,8704488.833333334,2295511.166666666
T,Donovan Smith,TB,72.6,1236,52.0,2020,Donovan Smith,2020,26,13750000,7521836.083333333,6228163.916666667
T,Riley Reiff,MIN,71.4,1003,53.0,2020,Riley Reiff,2020,31,11750000,6698690.0,5051310.0
T,Brandon Shell,SEA,71.4,734,53.0,2020,Brandon Shell,2020,28,4500000,6707690.0,-2207690.0
T,Mike Remmers,KC,71.3,914,55.0,2020,Mike Remmers,2020,30,1187500,5409777.083333333,-4222277.083333333
G,Damien Lewis,SEA,71.2,1028,56.0,2020,Damien Lewis,2020,23,1225535,4363621.25,-3138086.25
G,Nate Herbig,PHI,71.2,894,56.0,2020,Nate Herbig,2020,21,589167,4666302.0,-4077135.0
G,Connor Williams,DAL,71.2,1146,56.0,2020,Connor Williams,2020,22,1372247,4074635.3333333335,-2702388.3333333335
C,Ben Garland,SF,71.1,333,59.0,2020,Ben Garland,2020,31,2000000,2981914.3333333335,-981914.3333333335
G,Nate Davis,TEN,71.1,1124,59.0,2020,Nate Davis,2020,23,925045,2370042.8333333335,-1444997.8333333335
G,David Edwards,LA,70.5,1031,61.0,2020,David Edwards,2020,22,696130,2675598.4166666665,-1979468.4166666665
T,Billy Turner,GB,70.5,1030,61.0,2020,Billy Turner,2020,28,7000000,2703259.8333333335,4296740.166666666
C,Austin Blythe,LA,70.3,1242,63.0,2020,Austin Blythe,2020,27,3900000,2976131.9166666665,923868.0833333335
T,Jordan Mailata,PHI,70.3,732,63.0,2020,Jordan Mailata,2020,23,637348,3025993.0,-2388645.0
T,Jonah Williams,CIN,70.1,634,65.0,2020,Jonah Williams,2020,22,4407542,3329833.5,1077708.5
C,Jason Kelce,PHI,69.6,1126,66.0,2020,Jason Kelce,2020,32,8166667,4079833.5,4086833.5
C,Erik McCoy,NO,69.4,1213,67.0,2020,Erik McCoy,2020,22,1519437,5044413.083333333,-3524976.083333333
G,Wes Schweitzer,WAS,69.0,1062,69.0,2020,Wes Schweitzer,2020,26,4500000,6094735.583333333,-1594735.583333333
T,Kelvin Beachum,ARZ,69.0,1126,69.0,2020,Kelvin Beachum,2020,31,1187500,5637443.916666667,-4449943.916666667
G,A.J. Cann,JAX,69.0,919,69.0,2020,A.J. Cann,2020,28,5018333,5382625.25,-364292.25
G,Graham Glasgow,DEN,68.5,764,72.0,2020,Graham Glasgow,2020,27,11000000,5779512.916666667,5220487.083333333
C,Ryan Kelly,IND,68.0,1085,73.0,2020,Ryan Kelly,2020,27,12500000,5553199.833333333,6946800.166666667
G,Andrew Norwell,JAX,67.9,801,74.0,2020,Andrew Norwell,2020,28,13300000,4996602.583333333,8303397.416666667
