player,player_id,position,team_name,grades_offense,pass_plays,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Travis Benjamin,7100,WR,LAC,46.4,146,127.0,2019,457,Travis Benjamin,2019,29,2,"$8,500,000",4250000
Andre Patton,12043,WR,LAC,45.7,334,128.0,2019,324,Andre Patton,2019,24,2,"$1,080,000",540000
DeAndre Hopkins,7808,WR,HST,92.0,732,1.0,2018,664,DeAndre Hopkins,2018,26,5,"$81,000,000",16200000
Julio Jones,6158,WR,ATL,90.9,605,3.0,2018,969,Julio Jones,2018,29,5,"$71,256,045",14251209
Odell Beckham Jr.,8647,WR,NYG,90.0,489,4.0,2018,586,Odell Beckham Jr.,2018,25,5,"$90,000,000",18000000
Adam Thielen,8288,WR,MIN,89.4,694,5.0,2018,626,Adam Thielen,2018,27,4,"$19,246,000",4811500
Keenan Allen,7857,WR,LAC,89.3,602,6.0,2018,844,Keenan Allen,2018,26,4,"$45,000,000",11250000
Davante Adams,8688,WR,GB,87.8,695,8.0,2018,663,Davante Adams,2018,26,4,"$58,000,000",14500000
T.Y. Hilton,7092,WR,IND,87.6,612,9.0,2018,1017,T.Y. Hilton,2018,28,5,"$65,000,000",13000000
Robert Woods,7822,WR,LA,86.4,763,10.0,2018,740,Robert Woods,2018,25,5,"$34,000,000",6800000
A.J. Green,6156,WR,CIN,85.2,313,11.0,2018,890,A.J. Green,2018,30,4,"$60,000,000",15000000
Mike Evans,8642,WR,TB,84.3,680,13.0,2018,581,Mike Evans,2018,24,5,"$82,500,000",16500000
Julian Edelman,5156,WR,NE,82.4,595,14.0,2018,701,Julian Edelman,2018,32,2,"$11,000,000",5500000
Tyler Lockett,9502,WR,SEA,82.3,523,15.0,2018,621,Tyler Lockett,2018,25,3,"$30,750,000",10250000
Brandin Cooks,8655,WR,LA,81.2,737,17.0,2018,481,Brandin Cooks,2018,24,5,"$81,000,000",16200000
Stefon Diggs,9579,WR,MIN,81.1,627,19.0,2018,603,Stefon Diggs,2018,24,5,"$72,000,000",14400000
Emmanuel Sanders,5606,WR,DEN,81.1,443,19.0,2018,811,Emmanuel Sanders,2018,31,3,"$33,000,000",11000000
Doug Baldwin,6615,WR,SEA,80.6,409,22.0,2018,809,Doug Baldwin,2018,29,4,"$46,000,000",11500000
DeSean Jackson,4363,WR,TB,79.4,361,25.0,2018,666,DeSean Jackson,2018,31,3,"$33,500,000",11166667
Antonio Brown,5718,WR,PIT,79.3,716,26.0,2018,639,Antonio Brown,2018,29,4,"$68,000,000",17000000
Alshon Jeffery,7048,WR,PHI,79.0,580,27.0,2018,631,Alshon Jeffery,2018,28,4,"$52,000,000",13000000
Allen Robinson II,8696,WR,CHI,77.7,526,28.0,2018,473,Allen Robinson II,2018,24,3,"$42,000,000",14000000
Adam Humphries,10075,WR,TB,75.2,604,32.0,2018,467,Adam Humphries,2018,24,1,"$2,914,000",2914000
Jarvis Landry,8698,WR,CLV,74.7,647,33.0,2018,542,Jarvis Landry,2018,25,5,"$75,500,000",15100000
Cole Beasley,7330,WR,DAL,74.6,553,34.0,2018,913,Cole Beasley,2018,28,4,"$13,606,000",3401500
Josh Gordon,7618,WR,NE,73.5,403,35.0,2018,554,Josh Gordon,2018,26,1,"$790,000",790000
Marvin Jones Jr.,7158,WR,DET,71.9,365,38.0,2018,853,Marvin Jones Jr.,2018,27,5,"$40,000,000",8000000
Mohamed Sanu,7084,WR,ATL,71.6,599,40.0,2018,859,Mohamed Sanu,2018,28,5,"$32,500,000",6500000
Demaryius Thomas,5547,WR,HST,71.5,495,41.0,2018,921,Demaryius Thomas,2018,30,5,"$70,000,000",14000000
Sammy Watkins,8639,WR,KC,71.2,394,44.0,2018,600,Sammy Watkins,2018,24,3,"$48,000,000",16000000
Golden Tate,5585,WR,PHI,71.1,468,45.0,2018,1083,Golden Tate,2018,29,5,"$31,000,000",6200000
Breshad Perriman,9459,WR,CLV,70.9,145,46.0,2018,487,Breshad Perriman,2018,25,1,"$705,000",705000
Jordy Nelson,4350,WR,LV,70.7,557,47.0,2018,552,Jordy Nelson,2018,32,2,"$14,200,000",7100000
Cody Latimer,8691,WR,NYG,70.2,149,50.0,2018,499,Cody Latimer,2018,25,1,"$2,500,000",2500000
