player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Antonio Smith,1856,DI,OAK,16,0,1,23,69.0,4,35,427,98.9,12.2,52,5,5.5,4,475,470,43,0,74.0,4,24,189,100.0,16.9,32,8.5,2,212,212,30
Mike Adams,1972,S,IND,19,0,1,14,70.4,2,2,24,3.5,8.3,2,2,8.3,0,749,26,4,0,70.1,1,2,10,3.4,10.0,1,15.0,0,320,11,3
Tommy Kelly,2093,DI,ARZ,17,2,0,1,59.3,9,32,449,100.0,9.6,43,3,4.8,1,480,480,42,0,64.3,6,17,186,100.0,12.9,24,6.7,1,202,202,24
George Wilson,2210,S,TEN,16,0,0,31,33.5,0,1,51,11.4,2.0,1,2,2.9,1,482,55,2,0,37.1,0,1,27,14.4,3.7,1,5.6,1,195,28,2
Adam Jones,2223,CB,CIN,17,0,2,7,60.0,0,1,1,0.2,100.0,1,7,50.0,0,575,1,1,0,60.0,0,1,1,0.3,100.0,1,50.0,0,287,1,1
Antrel Rolle,2225,S,NYG,16,0,0,21,56.0,1,0,11,1.8,0.0,0,6,4.5,0,627,11,1,0,52.5,0,0,3,1.0,0.0,0,0.0,0,290,3,0
Carlos Rogers,2226,CB,OAK,7,0,0,23,44.9,1,0,8,3.8,12.5,1,2,6.3,0,236,9,1,0,57.9,0,0,1,1.0,0.0,0,0.0,0,97,1,0
DeMarcus Ware,2228,ED,DEN,17,0,0,10,63.5,12,34,513,96.8,13.5,69,3,6.6,11,558,540,57,0,63.6,8,25,247,98.2,18.6,46,9.9,8,272,267,41
Thomas Davis Sr.,2231,LB,CAR,17,0,0,5,80.8,4,14,93,14.7,19.4,18,2,12.9,3,655,96,21,0,76.9,1,5,33,11.1,24.2,8,15.2,2,305,34,8
Derrick Johnson,2232,LB,KC,1,0,0,16,72.3,0,1,2,9.5,50.0,1,0,25.0,0,21,2,1,0,72.3,0,1,2,13.3,50.0,1,25.0,0,15,2,1
Mike Patterson,2248,DI,NYG,16,0,0,21,52.6,0,6,177,100.0,4.0,7,0,1.7,0,190,190,6,0,63.3,0,4,48,100.0,10.4,5,4.2,0,53,53,4
Jonathan Babineaux,2276,DI,ATL,15,1,0,2,62.3,5,34,422,99.1,10.9,46,1,5.1,2,448,444,41,1,62.9,3,21,212,99.1,13.7,29,6.6,2,222,220,26
Justin Tuck,2291,ED,OAK,15,4,0,23,68.7,11,19,346,94.3,11.6,40,4,5.8,5,401,378,35,1,69.7,9,10,163,97.3,15.3,25,7.1,2,186,181,21
Chris Canty,2349,DI,BLT,13,1,0,3,49.6,0,9,228,99.2,3.9,9,1,2.4,1,246,244,10,1,51.8,0,3,90,100.0,5.6,5,2.8,1,96,96,4
Trent Cole,2363,ED,PHI,15,0,0,24,75.2,14,26,353,77.6,17.0,60,7,7.6,7,490,380,47,0,74.7,8,19,201,90.2,19.9,40,9.2,5,244,220,32
C.J. Mosley,2408,DI,DET,16,0,0,11,63.8,5,7,288,100.0,5.9,17,0,3.1,3,314,314,15,0,71.5,5,5,108,100.0,11.1,12,5.6,1,123,123,11
Kevin Vickerson,2433,DI,KC,14,1,0,16,52.5,1,4,78,97.7,7.7,6,1,3.2,0,86,84,5,0,45.4,0,2,24,100.0,8.3,2,4.2,0,26,26,2
